date,open,high,low,close,pct_change,volume
2025-01-24,3222.88,3260.01,3221.71,3252.63,0.70%,398653024.0
2025-01-27,3256.61,3274.39,3250.6,3250.6,-0.06%,387467648.0
2025-02-05,3270.16,3271.02,3220.28,3229.49,-0.65%,406388160.0
2025-02-06,3226.57,3271.43,3225.85,3270.66,1.27%,460842720.0
2025-02-07,3269.23,3324.43,3262.51,3303.67,1.01%,600558464.0
2025-02-10,3308.04,3325.36,3299.24,3322.17,0.56%,546589760.0
2025-02-11,3323.67,3324.17,3304.44,3318.06,-0.12%,511943552.0
2025-02-12,3312.26,3346.39,3310.39,3346.39,0.85%,513437824.0
2025-02-13,3343.23,3359.18,3332.48,3332.48,-0.42%,568631168.0
2025-02-14,3328.48,3349.08,3322.53,3346.72,0.43%,532332960.0
2025-02-17,3355.42,3357.12,3333.19,3355.83,0.27%,589546560.0
2025-02-18,3348.98,3366.01,3314.3,3324.49,-0.93%,562679232.0
2025-02-19,3320.78,3352.09,3320.58,3351.54,0.81%,502912992.0
2025-02-20,3347.59,3355.56,3338.03,3350.78,-0.02%,504357120.0
2025-02-21,3356.69,3381.06,3339.03,3379.11,0.85%,608190208.0
2025-02-24,3374.08,3384.81,3355.87,3373.03,-0.18%,598188224.0
2025-02-25,3345.65,3369.56,3337.84,3346.04,-0.80%,527578560.0
2025-02-26,3351.21,3380.21,3351.21,3380.21,1.02%,553992000.0
2025-02-27,3378.45,3388.78,3353.57,3388.06,0.23%,575815040.0
2025-02-28,3374.66,3383.19,3318.72,3320.9,-1.98%,568319488.0
2025-03-03,3328.4,3349.02,3304.59,3316.93,-0.12%,502417856.0
2025-03-04,3300.5,3327.82,3297.53,3324.21,0.22%,429996128.0
2025-03-05,3324.7,3342.71,3314.15,3341.96,0.53%,460952704.0
2025-03-06,3353.57,3387.05,3348.68,3381.1,1.17%,539992704.0
2025-03-07,3373.18,3390.94,3363.93,3372.55,-0.25%,517663552.0
2025-03-10,3373.26,3375.8,3347.19,3366.16,-0.19%,450380832.0
2025-03-11,3335.44,3379.83,3334.83,3379.83,0.41%,448468352.0
2025-03-12,3385.69,3392.41,3370.22,3371.92,-0.23%,502195104.0
2025-03-13,3371.09,3377.12,3341.12,3358.73,-0.39%,519013504.0
2025-03-14,3361.69,3421.23,3360.61,3419.56,1.81%,582663360.0
2025-03-17,3430.81,3436.35,3422.46,3426.13,0.19%,515685120.0
2025-03-18,3434.57,3437.07,3423.3,3429.76,0.11%,454916064.0
2025-03-19,3424.17,3439.05,3414.59,3426.43,-0.10%,440316320.0
2025-03-20,3425.22,3427.05,3404.66,3408.95,-0.51%,451630688.0
2025-03-21,3401.76,3414.71,3355.84,3364.83,-1.29%,520862624.0
2025-03-24,3364.83,3373.69,3340.24,3370.03,0.15%,513310272.0
2025-03-25,3370.0,3379.99,3361.05,3369.98,0.00%,456357408.0
2025-03-26,3365.67,3382.34,3365.67,3368.7,-0.04%,428533760.0
2025-03-27,3362.71,3394.03,3351.17,3373.75,0.15%,414776320.0
2025-03-28,3372.04,3375.05,3346.08,3351.31,-0.67%,412284288.0
2025-03-31,3343.34,3361.74,3317.74,3335.75,-0.46%,472572000.0
2025-04-01,3340.71,3357.62,3338.78,3348.44,0.38%,422588672.0
2025-04-02,3344.17,3361.13,3343.12,3350.13,0.05%,350127360.0
2025-04-03,3319.61,3358.43,3319.61,3342.01,-0.24%,400517824.0
2025-04-07,3193.1,3217.78,3040.69,3096.58,-7.34%,662199552.0
2025-04-08,3094.26,3145.55,3085.12,3145.55,1.58%,662242368.0
2025-04-09,3110.01,3186.81,3070.08,3186.81,1.31%,684797184.0
2025-04-10,3227.84,3239.94,3201.57,3223.64,1.16%,591208256.0
2025-04-11,3219.51,3249.85,3211.35,3238.23,0.45%,475531808.0
2025-04-14,3251.98,3272.72,3244.73,3262.81,0.76%,471373216.0
2025-04-15,3260.69,3268.98,3246.34,3267.66,0.15%,396662912.0
2025-04-16,3267.67,3276.0,3233.79,3276.0,0.26%,429534848.0
2025-04-17,3261.72,3285.92,3258.15,3280.34,0.13%,382012704.0
2025-04-18,3270.35,3283.09,3262.39,3276.73,-0.11%,358836192.0
2025-04-21,3273.14,3298.64,3270.01,3291.43,0.45%,379307584.0
2025-04-22,3289.17,3311.15,3288.33,3299.76,0.25%,403167616.0
2025-04-23,3308.15,3312.19,3293.06,3296.36,-0.10%,411633216.0
2025-04-24,3295.15,3313.51,3286.24,3297.29,0.03%,392844736.0
2025-04-25,3300.39,3305.26,3288.75,3295.06,-0.07%,411043200.0
2025-04-28,3292.06,3296.93,3279.88,3288.41,-0.20%,410665856.0
2025-04-29,3281.45,3294.98,3277.63,3286.65,-0.05%,388961696.0
2025-04-30,3284.08,3292.2,3277.55,3279.03,-0.23%,435794336.0
2025-05-06,3295.25,3316.45,3286.99,3316.11,1.13%,474369600.0
2025-05-07,3354.97,3356.69,3324.81,3342.67,0.80%,511159616.0
2025-05-08,3331.21,3359.73,3327.9,3352.0,0.28%,428377792.0
2025-05-09,3350.41,3351.22,3335.13,3342.0,-0.30%,398909184.0
2025-05-12,3352.97,3372.47,3344.27,3369.24,0.82%,418239904.0
